route_id,service_id,direction_id,trip_id
101,19,0,17032
101,19,0,18068
101,19,0,18975
101,19,0,21923
101,19,0,23076
101,19,0,23708
101,19,0,25190
101,19,0,26428
101,19,0,26922
101,19,0,27020
101,19,0,27130
101,19,0,27597
101,19,0,31431
101,19,0,31437
101,19,0,32582
101,19,0,32667
101,19,0,33240
101,19,0,33315
101,19,0,34978
101,19,0,35450
101,19,0,3561
101,19,0,35707
101,19,0,35916
101,19,0,36504
101,19,0,37771
101,19,0,38203
101,19,0,3837
101,19,0,38620
101,19,0,40039
101,19,0,4214
101,19,0,42506
101,19,0,42544
101,19,0,43627
101,19,0,43856
101,19,0,44595
101,19,0,52453
101,19,0,52750
101,19,0,53659
101,19,0,53824
101,19,0,53849
101,19,0,53927
101,19,0,5429
101,19,0,54809
101,19,0,55085
101,19,0,55250
101,19,0,5573
101,19,0,56383
101,19,0,5657
101,19,0,57404
101,19,0,57426
101,19,0,57712
101,19,0,58546
101,19,0,5884
101,19,0,59426
101,19,0,59496
101,19,0,59862
101,19,0,60101
101,19,0,60440
101,19,0,61082
101,19,0,61842
101,19,0,62987
101,19,0,63171
101,19,0,64627
101,19,0,64798
101,19,0,65762
101,19,0,67297
101,19,0,67455
101,19,0,67547
101,19,0,6905
101,19,0,6964
101,19,0,7015
101,19,0,7139
101,19,0,7433
101,19,0,9488
101,19,0,9955
101,2,0,10461
101,2,0,12442
101,2,0,19009
101,2,0,21333
101,2,0,22547
101,2,0,2587
101,2,0,2650
101,2,0,27486
101,2,0,28443
101,2,0,29702
101,2,0,31328
101,2,0,34189
101,2,0,42403
101,2,0,44219
101,2,0,45300
101,2,0,52126
101,2,0,54633
101,2,0,5475
101,2,0,59898
101,2,0,62021
101,2,0,6480
101,2,0,65948
101,2,0,67575
101,2,0,7611
101,20,0,11713
101,20,0,27608
101,20,0,27983
101,20,0,35983
101,20,0,37414
101,20,0,44611
101,20,0,49090
101,20,0,66786
101,28,0,15066
101,28,0,15961
101,28,0,17375
101,28,0,18946
101,28,0,20365
101,28,0,20376
101,28,0,29143
101,28,0,3001
101,28,0,33863
101,28,0,34638
101,28,0,34789
101,28,0,36656
101,28,0,36694
101,28,0,37188
101,28,0,38108
101,28,0,39379
101,28,0,3940
101,28,0,42424
101,28,0,48212
101,28,0,48985
101,28,0,50797
101,28,0,56075
101,28,0,62656
101,28,0,63105
101,28,0,63197
101,28,0,63662
101,28,0,66325
