stop_id,stop_name,stop_lat,stop_lon
3381,Ludwigshafen(Rh)Hbf,49.477985,8.433402
465,Ludwigshafen(Rh)Hbf,49.477985,8.433402
5345,Ludwigshafen(Rh)Hbf,49.477985,8.433402
7011,Ludwigshafen(Rh)Hbf,49.477985,8.433402
8118,Ludwigshafen(Rh)Hbf,49.477985,8.433402
9786,Ludwigshafen(Rhein) BASF Mitte,49.510036,8.432073
6654,Ludwigshafen(Rhein) BASF Nord,49.5201,8.427768
6575,Ludwigshafen(Rhein) BASF Süd,49.493973,8.43896
11362,Ludwigshafen(Rhein) Mitte,49.479004,8.452152
5060,Ludwigshafen(Rhein) Mitte,49.479004,8.452152
8263,Ludwigshafen(Rhein) Mitte,49.479004,8.452152
11900,Ludwigshafen-Mundenheim,49.46157,8.421092
9819,Ludwigshafen-Mundenheim,49.46157,8.421092
3209,Ludwigshafen-Oggersheim,49.493187,8.381523
5014,Ludwigshafen-Oggersheim,49.493187,8.381523
4139,Ludwigshafen-Rheingönheim,49.44747,8.409493
5956,Ludwigshafen-Rheingönheim,49.44747,8.409493
6691,Ludwigshöhe,49.49957,11.248783
8248,Ludwigshöhe,49.49957,11.248783
5356,Ludwigslust,53.33467,11.494491
9756,Ludwigslust,53.33467,11.494491
10349,Ludwigsstadt,50.486584,11.382989
5103,Ludwigsstadt,50.486584,11.382989
5475,Ludwigsstadt,50.486584,11.382989
6475,Ludwigsthal,49.0596,13.237815
8076,Luh nad Svatavou,50.21771,12.588197
11687,Luhe,49.57992,12.139463
7945,Luhe,49.57992,12.139463
10174,Luhe-Wildenau,49.598732,12.126909
13027,Luhe-Wildenau,49.598732,12.126909
11195,Luisenthal(Saar),49.249596,6.904214
7530,Luisenthal(Saar),49.249596,6.904214
13623,Lunde J st,55.756145,8.36395
5172,Lunden,54.33123,9.030746
9369,Lunden,54.33123,9.030746
5117,Lunestedt,53.439083,8.735085
748,Lunestedt,53.439083,8.735085
381,Lutherplatz Ri. Am Stern,51.318916,9.496358
9506,Lutherplatz von Am Stern,51.318916,9.496358
13742,Lutherstadt Wittenberg Altstadt,51.863766,12.641431
9675,Lutherstadt Wittenberg Altstadt,51.863766,12.641431
11579,Lutherstadt Wittenberg Hbf,51.86781,12.662285
196,Lutherstadt Wittenberg Hbf,51.86781,12.662285
2506,Lutherstadt Wittenberg Hbf,51.86781,12.662285
6208,Lutherstadt Wittenberg Hbf,51.86781,12.662285
6365,Lutherstadt Wittenberg Hbf,51.86781,12.662285
8453,Lutherstadt Wittenberg Hbf,51.86781,12.662285
9444,Lutherstadt Wittenberg Hbf,51.86781,12.662285
6646,Lutherstadt Wittenberg-Labetz,51.871456,12.694192
9163,Lutherstadt Wittenberg-Labetz,51.871456,12.694192
13029,Lutherstadt Wittenberg-Piesteritz,51.87186,12.596775
3703,Lutherstadt Wittenberg-Piesteritz,51.87186,12.596775
6367,Lutten,52.76818,8.343977
7209,Lutum,51.98235,7.22644
11693,Luxembourg,49.599712,6.134396
3820,Luxembourg,49.599712,6.134396
6961,Luxembourg,49.599712,6.134396
11787,Lyon Part Dieu,45.760563,4.85999
1831,Lähn,47.41991,10.833844
12831,Löbau(Sachs),51.099445,14.671941
5659,Löbau(Sachs),51.099445,14.671941
8378,Löbau(Sachs),51.099445,14.671941
11138,Löcherberg,48.434666,8.172248
5377,Löcherberg Bahnhof,48.435276,8.172046
1522,Löcknitz,53.4561,14.215417
12578,Lödingsen,51.589195,9.791027
11956,Löf,50.230568,7.443512
3520,Löf,50.230568,7.443512
11908,Löffingen,47.883434,8.3418
4108,Löffingen,47.883434,8.3418
1227,Löhnberg,50.509346,8.274307
994,Löhnberg,50.509346,8.274307
1053,Löhne(Westf),52.19665,8.7135
11546,Löhne(Westf),52.19665,8.7135
4004,Löhne(Westf),52.19665,8.7135
6603,Löhne(Westf),52.19665,8.7135
9325,Löhne(Westf),52.19665,8.7135
7098,Lörrach Dammstraße,47.597713,7.655224
11521,Lörrach Hbf,47.61405,7.66542
3182,Lörrach Hbf,47.61405,7.66542
4478,Lörrach Hbf,47.61405,7.66542
120,Lörrach Museum/Burghof,47.60796,7.661196
9864,Lörrach Museum/Burghof,47.60796,7.661196
11772,Lörrach Schwarzwaldstraße,47.624683,7.672569
6629,Lörrach Schwarzwaldstraße,47.624683,7.672569
3140,Lörrach-Brombach/Hauingen,47.63761,7.695207
10561,Lörrach-Haagen/Messe,47.633232,7.680893
6722,Lörrach-Haagen/Messe,47.633232,7.680893
4298,Lörrach-Stetten,47.601418,7.659032
8345,Lörzenbach-Fahrenbach,49.63885,8.764628
3475,Lövenich,50.942932,6.83444
4631,Lövenich,50.942932,6.83444
3314,Löwenberg(Mark),52.8968,13.190055
4417,Löwenberg(Mark),52.8968,13.190055
4782,Löwenberg(Mark),52.8968,13.190055
10018,Löwental,47.6614,9.499241
12626,Löwental,47.6614,9.499241
4676,Lößnitz ob Bf,50.624874,12.748769
12454,Lößnitz unt Bf,50.611107,12.72446
3172,Lößnitzgrund,51.121277,13.653908
13025,Lübbecke(Westf),52.30634,8.605732
11269,Lübben(Spreewald),51.939735,13.877182
6631,Lübben(Spreewald),51.939735,13.877182
10451,Lübbenau(Spreewald),51.862167,13.9609
12253,Lübbenau(Spreewald),51.862167,13.9609
634,Lübbenau(Spreewald),51.862167,13.9609
6624,Lübberstedt,53.343357,8.785104
7032,Lübberstedt,53.343357,8.785104
9282,Lübeck Flughafen,53.804466,10.697352
10630,Lübeck Hbf,53.867546,10.669821
11052,Lübeck Hbf,53.867546,10.669821
1352,Lübeck Hbf,53.867546,10.669821
2983,Lübeck Hbf,53.867546,10.669821
7381,Lübeck Hbf,53.867546,10.669821
