from_stop_id,to_stop_id,transfer_type,min_transfer_time
68,869,2,0.0
869,68,2,0.0
68,894,2,0.0
894,68,2,0.0
848,860,2,0.0
860,848,2,0.0
848,869,2,0.0
869,848,2,0.0
848,894,2,0.0
894,848,2,0.0
860,869,2,0.0
869,860,2,0.0
860,894,2,0.0
894,860,2,0.0
869,894,2,0.0
894,869,2,0.0
1372,845,2,0.0
845,1372,2,0.0
1123,134,2,0.0
134,1123,2,0.0
1123,864,2,0.0
864,1123,2,0.0
134,864,2,0.0
864,134,2,0.0
1326,62,2,0.0
62,1326,2,0.0
1164,165,2,0.0
165,1164,2,0.0
1169,408,2,0.0
408,1169,2,0.0
1169,445,2,0.0
445,1169,2,0.0
1169,759,2,0.0
759,1169,2,0.0
1169,923,2,0.0
923,1169,2,0.0
408,445,2,0.0
445,408,2,0.0
408,759,2,0.0
759,408,2,0.0
408,923,2,0.0
923,408,2,0.0
445,759,2,0.0
759,445,2,0.0
445,923,2,0.0
923,445,2,0.0
759,923,2,0.0
923,759,2,0.0
1090,913,2,0.0
913,1090,2,0.0
1090,958,2,0.0
958,1090,2,0.0
913,958,2,0.0
958,913,2,0.0
189,199,2,0.0
199,189,2,0.0
431,644,2,0.0
644,431,2,0.0
431,652,2,0.0
652,431,2,0.0
431,780,2,0.0
780,431,2,0.0
644,652,2,0.0
652,644,2,0.0
644,780,2,0.0
780,644,2,0.0
652,780,2,0.0
780,652,2,0.0
1006,684,2,0.0
684,1006,2,0.0
1170,85,2,0.0
85,1170,2,0.0
1210,1256,2,0.0
1256,1210,2,0.0
1210,1390,2,0.0
1390,1210,2,0.0
1210,285,2,0.0
285,1210,2,0.0
1210,371,2,0.0
371,1210,2,0.0
1210,505,2,0.0
505,1210,2,0.0
1210,657,2,0.0
657,1210,2,0.0
1210,964,2,0.0
964,1210,2,0.0
1256,1390,2,0.0
1390,1256,2,0.0
1256,285,2,0.0
285,1256,2,0.0
1256,371,2,0.0
371,1256,2,0.0
1256,505,2,0.0
505,1256,2,0.0
1256,657,2,0.0
657,1256,2,0.0
1256,964,2,0.0
964,1256,2,0.0
1390,285,2,0.0
285,1390,2,0.0
1390,371,2,0.0
371,1390,2,0.0
1390,505,2,0.0
505,1390,2,0.0
1390,657,2,0.0
657,1390,2,0.0
1390,964,2,0.0
964,1390,2,0.0
285,371,2,0.0
371,285,2,0.0
285,505,2,0.0
505,285,2,0.0
285,657,2,0.0
657,285,2,0.0
285,964,2,0.0
964,285,2,0.0
371,505,2,0.0
505,371,2,0.0
371,657,2,0.0
657,371,2,0.0
371,964,2,0.0
964,371,2,0.0
505,657,2,0.0
657,505,2,0.0
505,964,2,0.0
964,505,2,0.0
657,964,2,0.0
964,657,2,0.0
106,959,2,0.0
959,106,2,0.0
1290,469,2,0.0
469,1290,2,0.0
1107,625,2,0.0
625,1107,2,0.0
157,905,2,0.0
905,157,2,0.0
1139,885,2,0.0
885,1139,2,0.0
1205,717,2,0.0
717,1205,2,0.0
1028,615,2,0.0
615,1028,2,0.0
340,891,2,0.0
891,340,2,0.0
1214,1283,2,0.0
1283,1214,2,0.0
211,529,2,0.0
529,211,2,0.0
1212,438,2,0.0
438,1212,2,0.0
241,547,2,0.0
